TIMESTAMP,RECORD,I_glo_Avg,I_dir_Avg,I_dif_Calc,AirTC_Avg,RH,WS_ms_Avg,WindDir,CS106_PB_Avg,Rain_mm_Tot
01/01/2023 15:20,93,579.4,864,126.2062881,28.33,26.88,1.154,167.9,876.3636,-
01/01/2023 15:30,94,533.5,844,112.6118145,28.93,28.4,1.606,56.02,876.2413,-
01/01/2023 15:40,95,487.7,831,95.76253337,29.07,28.34,1.396,264.6,876.1674,-
01/01/2023 15:50,96,428.9,798.7,74.70061,28.7,29.4,2.752,183.5,876.0777,-
01/01/2023 16:00,97,371,782.3,46.9641084,29.16,28.68,1.639,150,876.0613,-
01/01/2023 16:10,98,324.7,780.7,24.97414707,28.91,27.48,3.586,153.8,876.0696,-
01/01/2023 16:20,99,275.8,761.6,7.215731386,29.11,26.91,1.935,193.4,876.0529,-
01/01/2023 16:30,100,237.9,740.5,0.581311831,28.98,28.32,1.823,205.7,876.0616,-
01/01/2023 16:40,101,204.9,715.5,0,29.27,28.39,2.67,167.9,876.0822,-
01/01/2023 16:50,102,178.7,688.7,4.012826781,28.79,29.49,3.121,151.9,876.077,-
01/01/2023 17:00,103,160.6,650.6,18.04587768,28.39,29.79,2.67,232.3,876.0721,-
01/01/2023 17:10,104,118.5,420.4,41.18087649,28.21,30.3,2.188,167.2,876.0902,-
01/01/2023 17:20,105,145.6,550.2,64.09703705,27.88,30.3,2.839,181,876.1606,-
01/01/2023 17:30,106,117.6,476,64.37085345,27.93,30.08,2.481,184.7,876.2272,-
01/01/2023 17:40,107,45.08,153.5,33.55753738,27.45,30.58,2.609,169.7,876.2889,-
01/01/2023 17:50,108,21.44,44.39,19.75672185,26.96,31.81,2.775,170.7,876.3529,-
01/01/2023 18:00,109,16.41,49.33,16.38718152,26.7,32.32,2.398,167.9,876.2726,-
01/01/2023 18:10,110,6.151,0.481,6.168910863,26.49,32.65,1.966,182.6,876.212,-
01/01/2023 18:20,111,1.215,0.007,1.215525741,26.27,33.18,1.104,237.4,876.2015,-
01/01/2023 18:30,112,0.074,0.007,0.07479151,25.98,33.91,0.266,292.7,876.2801,-
01/01/2023 18:40,113,0,0.008,0.001208523,25.47,35.51,0.83,336.5,876.2566,-
01/01/2023 18:50,114,0,0.005,0.000945055,24.41,38.66,1.583,345.2,876.3995,-
01/01/2023 19:00,115,0,0.006,0.001361026,23.62,41.17,1.783,349.6,876.3682,-
01/01/2023 19:10,116,0,0.003,0.00079342,23.03,43.28,2.195,346.7,876.4818,-
01/01/2023 19:20,117,0,0,0,22.05,45.92,2.361,338.2,876.5175,-
01/01/2023 19:30,118,0,0.01,0.003388855,21.88,45.69,2.835,325.6,876.7639,-
01/01/2023 19:40,119,0,0.003,0.001126561,21.47,47.27,2.229,345.5,876.8511,-
01/01/2023 19:50,120,0,0.007,0.002881767,21.36,47.66,2.013,4.379,877.0801,-
01/01/2023 20:00,121,0,0.009,0.00402569,21.35,47.66,1.879,340.9,877.1143,-
01/01/2023 20:10,122,0,0.009,0.004340755,21.18,48.23,2.21,344.1,877.244,-
01/01/2023 20:20,123,0,0.01,0.005166359,21.08,48.41,1.95,336.1,877.3107,-
01/01/2023 20:30,124,0,0.023,0.01265513,20.94,49.01,2.21,345.2,877.448,-
01/01/2023 20:40,125,0,0.005,0.002915018,20.63,50.04,1.99,354.2,877.4335,-
01/01/2023 20:50,126,0,0.009,0.005534236,20.7,49.67,1.314,333.1,877.6609,-
01/01/2023 21:00,127,0,0.016,0.010334349,20.61,50.1,1.649,328.1,877.7432,-
01/01/2023 21:10,128,0,0.136,0.091921018,20.44,50.99,2.528,336.3,877.7109,-
01/01/2023 21:20,129,0,0.007,0.004933859,20.29,51.37,2.044,0.194,877.6948,-
01/01/2023 21:30,130,0,0.005,0.003663416,20.14,51.8,1.313,332.7,877.8731,-
01/01/2023 21:40,131,0,0.016,0.012150008,20.01,52.06,1.818,333.7,877.866,-
01/01/2023 21:50,132,0,0.026,0.02040644,19.93,52.39,1.865,331.1,877.8992,-
01/01/2023 22:00,133,0,0.003,0.002427292,19.37,53.83,2.133,328.1,877.9145,-
01/01/2023 22:10,134,0,0.085,0.070722735,19.34,53.52,2.251,334.5,877.9318,-
01/01/2023 22:20,135,0,0.002,0.001707248,18.92,55.39,2.143,319.7,877.923,-
01/01/2023 22:30,136,0,0.145,0.126705583,19.12,54.77,2.371,344.6,878.0215,-
01/01/2023 22:40,137,0,0.012,0.010711399,18.67,56.28,2.068,10.33,878.0048,-
01/01/2023 22:50,138,0,0.11,0.100093755,18.85,55.77,1.773,330.9,878.0378,-
01/01/2023 23:00,139,0,0.024,0.022218683,18.98,55.51,1.22,0.194,877.9719,-
01/01/2023 23:10,140,0,0.002,0.001880184,18.64,57.33,1.366,332.3,877.8906,-
01/01/2023 23:20,141,0,0.005,0.004764286,18.41,57.99,1.729,334.9,877.7839,-
01/01/2023 23:30,142,0,0.3,0.289214726,18.76,56.53,2.473,340.4,877.7115,-
01/01/2023 23:40,143,0,0.289,0.281383877,18.97,55.9,2.605,340.7,877.7503,-
01/01/2023 23:50,144,0,0.071,0.06969584,18.91,56.39,2.158,320.9,877.7105,-
02/01/2023 00:00,145,0,0.027,0.026684806,18.76,57.07,2.595,339.6,877.7025,-
02/01/2023 00:10,146,0,0.023,0.022838395,18.53,58.15,1.837,346.5,877.6368,-
02/01/2023 00:20,147,0,0.002,0.001991942,18.48,58.44,0.558,323.2,877.6942,-
02/01/2023 00:30,148,0,0.131,0.130647923,18.92,57.24,1.246,326.3,877.6941,-
02/01/2023 00:40,149,0,0.1,0.099699533,18.67,58.71,1.86,321.8,877.6124,-
02/01/2023 00:50,150,0,0.07,0.069651428,18.24,60.4,2.057,329.2,877.4977,-
02/01/2023 01:00,151,0,0.04,0.039655655,18.52,59.34,1.129,328.8,877.5717,-
02/01/2023 01:10,152,0,0.196,0.193278568,18.59,59.53,1.979,332.4,877.5057,-
02/01/2023 01:20,153,0,0,0,17.44,63.93,2.066,4.331,877.4897,-
02/01/2023 01:30,154,0,0.007,0.006794651,17.46,64.12,1.676,341.4,877.498,-
02/01/2023 01:40,155,0,0.153,0.146959452,17.69,63.56,2.003,354.3,877.4493,-
02/01/2023 01:50,156,0,0.011,0.010436643,17.69,63.6,1.635,336.9,877.3787,-
02/01/2023 02:00,157,0,0.214,0.200194031,17.75,63.24,1.785,336,877.3423,-
02/01/2023 02:10,158,0,0.133,0.122445881,17.71,63.2,1.681,318.3,877.3774,-
02/01/2023 02:20,159,0,0.204,0.184475729,18.24,60.46,1.297,315.7,877.3884,-
02/01/2023 02:30,160,0,0.065,0.0576198,17.72,63.11,2.115,342.6,877.2972,-
02/01/2023 02:40,161,0,0.02,0.017343534,17.28,65.17,2.378,336.8,877.2532,-
02/01/2023 02:50,162,0,0.058,0.049096082,17.46,64.15,2.591,328.7,877.2898,-
02/01/2023 03:00,163,0,0.012,0.009893043,17.27,65.11,2.609,331.1,877.2867,-
02/01/2023 03:10,164,0,0.023,0.018423622,17.01,66.43,2.708,333.1,877.3134,-
02/01/2023 03:20,165,0,0.022,0.017079678,16.92,66.92,2.448,332.6,877.3513,-
